"Customer Name";"Customer Name"
"SMS Content";"SMS Content"
"Order Date";"Order Date"
"Test Phone";"Test Phone"
"Order Status";"Order Status"
"Control Status";"Control Status"
"Control Status:";"Control Status:"
"Dispatch Status";"Dispatch Status"
"Dispatch Status:";"Dispatch Status:"
"Destination";"Destination"
"Review";"Review"
"Create a new order";"Create a new order"
"Select a customer:";"Select a customer:"
"Enter your message:";"Enter your message:"
"Test Phone:";"Test Phone:"
"Order ID";"Order ID"
"Destination Type";"Destination Type"
"Destination Value";"Destination Value"
"Dispatch Date";"Dispatch Date"
"Quantity";"Quantity"
"Create a new destination";"Create a new destination"
"Order Details";"Order Details"
"Sender Company:";"Sender Company:"
"Sender Customer:";"Sender Customer:"
"Order Date:";"Order Date:"
"Order Status:";"Order Status:"
"Ready to confirm!";"Ready to confirm!"
"Confirmed!";"Confirmed!"
"Confirm";"Confirm"
"Suspend";"Suspend"
"List of Destinations";"List of Destinations"
"Destination Type:";"Destination Type:"
"Destination Value:";"Destination Value:"
"Orderer Username";"Orderer Username"
"orderer";"Orderer"
"controller";"Controller"
"dispatcher";"Dispatcher"
"Date the issue occurred (yyyy-mm-dd hh:mm):";"Date the issue occurred (yyyy-mm-dd hh:mm):"
"Destination Order:";"Destination Order:"
"Destination Start:";"Destination Start:"
"Destination End:";"Destination End:"
"There is no order!";"There is no order!"
"Message Length:";"Message Length:"
"SMS Quantity:";"SMS Quantity:"
"SMS Quantity";"SMS Quantity"
"There is no destination!";"There is no destination!"
"Send";"Send"
"Destination ID";"Destination ID"
"Bulk ID";"Bulk ID"
"Destination Information";"Destination Information"
"Destination Status";"Destination Status"
"GetStatusResult";"GetStatusResult"
"Delivered";"Delivered"
"Sent";"Sent"
"SMS Fee:";"SMS Fee:"
"SMS Fee";"SMS Fee"
"Transaction";"Transaction"
"List of Transactions";"List of Transactions"
"Create a new Transaction";"Create a new Transaction"
"Receipt Number:";"Receipt Number:"
"Bank Account:";"Bank Account:"
"Diposit Date (yyyy-mm-dd hh:mm):";"Diposit Date (yyyy-mm-dd hh:mm):"
"Depositor Name:";"Depositor Name:"
"Deposit Fee:";"Deposit Fee:"
"Receipt Number";"Receipt Number"
"Bank Account";"Bank Account"
"Deposit Date";"Deposit Date"
"Depositor Name";"Depositor Name"
"Deposit Fee";"Deposit Fee"
"Your destinations fee is not equal to transactions fee!";"Your destinations fee is not equal to transactions fee!"
"Total Destinations Fee:";"Total Destinations Fee:"
"Total Transaction Fee:";"Total Transaction Fee:"
"Total Destinations Fee (without Tax):";"Total Destinations Fee (without Tax):"
"Total Destinations Fee (with Tax):";"Total Destinations Fee (with Tax):"
"Destination Range:";"Destination Range:"
"Destination Province:";"Destination Province:"
"SMS Destinations Quantity:";"SMS Destinations Quantity:"